emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,9999-01-01
10149,Xiadong,Perry,F,88740,1996-08-27
10150,Zhenbing,Perng,F,70122,9999-01-01
10152,Jaques,Munro,F,40000,1987-08-03
10153,Heekeun,Majewski,M,54246,9999-01-01
10157,Nigel,Aloisi,M,48770,9999-01-01
10161,Hairong,Mellouli,F,43149,1994-01-05
10186,Shigehito,Kropatsch,M,40000,1997-08-16
10198,Pranav,Furedi,M,44076,9999-01-01
10215,Xiaobin,Duclos,M,43944,9999-01-01
10217,Yongmin,Roison,F,40000,1993-08-05
10224,Leon,Trogemann,M,40000,9999-01-01
10229,Ulises,Takanami,M,58321,2000-06-30
10233,Lein,Vendrig,F,40000,9999-01-01
10258,Basil,Ishibashi,F,66280,9999-01-01
10272,Yishai,Cannane,M,58070,9999-01-01
10282,Hercules,Benzmuller,M,40000,9999-01-01
10283,Kauko,Birjandi,M,40000,9999-01-01
10286,Saddek,Gopalakrishnan,F,40000,1999-01-24
10302,Faiza,Baer,F,58239,1999-11-09
10305,Hirochika,Piancastelli,M,52550,1992-06-02
10326,Masali,Czap,F,40000,9999-01-01
10327,Roded,Facello,M,54734,1988-05-10
10327,Roded,Facello,M,54734,1993-05-22
10340,Djelloul,Laventhal,M,68132,9999-01-01
10347,Pradeep,Kaminger,M,42199,9999-01-01
10355,Satyanarayana,Cochrane,M,70434,9999-01-01
10356,Vasilis,Standera,M,45376,9999-01-01
10363,Toshiki,Muniz,F,40401,1987-05-18
10363,Toshiki,Muniz,F,40401,1993-02-12
10364,Nakhoon,Dengi,M,51401,9999-01-01
10372,Anneli,Frijda,F,54505,9999-01-01
10387,Parto,Wrigley,F,61374,9999-01-01
10395,Takahiro,Deverell,M,42774,2001-08-13
10396,Sibyl,Rahier,M,40393,9999-01-01
10402,Volkmar,Ebeling,M,40000,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10429,Martien,Improta,F,40000,9999-01-01
10432,Hisao,Tiemann,F,40000,9999-01-01
10442,Volkmar,Unno,M,46005,2001-03-13
10451,Bodh,Ranta,F,46275,9999-01-01
10453,Tsvetan,Matzel,F,40000,9999-01-01
10463,Ung,Zaiane,M,66480,9999-01-01
10466,Jiakeng,Himler,M,55318,2000-08-15
10486,Amstein,Kossowski,F,71692,9999-01-01
10494,Yakkov,Servieres,F,50094,9999-01-01
10504,Xiong,Varker,M,43931,9999-01-01
10512,Udi,Gihr,M,40000,9999-01-01
10519,Yonghoan,Alencar,F,40000,2001-10-13
10519,Yonghoan,Alencar,F,40000,1994-02-09
10522,Marke,Cesareni,F,40000,9999-01-01
10538,Przemyslawa,Falby,M,72002,1998-12-13
10538,Przemyslawa,Falby,M,72002,1991-09-22
10541,Godehard,Eiter,M,50741,1986-10-01
10548,Ramalingam,Gunderson,M,90631,9999-01-01
10548,Ramalingam,Gunderson,M,90631,1991-10-04
10004,Chirstian,Koblick,M,40054,9999-01-01
10009,Sumant,Peac,F,60929,9999-01-01
10564,Jianhao,Thisen,M,46660,9999-01-01
10018,Kazuhide,Peha,F,55881,9999-01-01
10575,Theirry,Yeung,M,40523,2000-11-22
10018,Kazuhide,Peha,F,55881,1992-07-29
10035,Alain,Chappelet,M,41538,9999-01-01
10591,Hidde,Hettesheimer,F,55131,1988-09-20
10053,Sanjiv,Zschoche,F,67854,9999-01-01
10608,Adhemar,Talmor,F,40000,1991-06-02
10617,Hidekazu,Angel,F,40000,2001-10-03
10623,Aleksander,Danlos,F,60268,1996-02-11
10623,Aleksander,Danlos,F,60268,9999-01-01
10628,Krisda,Krogh,M,41650,9999-01-01
10629,Lalit,Francisci,F,87045,2001-12-07
10631,Inderjeet,Chaudhuri,M,40000,9999-01-01
10058,Berhard,McFarlin,M,52787,9999-01-01
10642,Hirochika,Narlikar,M,40000,9999-01-01
10066,Kwee,Schusler,M,69736,9999-01-01
10653,Otmar,Feinberg,M,40000,9999-01-01
10067,Claudi,Stavenow,M,44642,9999-01-01
10070,Reuven,Garigliano,M,55999,1995-10-18
10070,Reuven,Garigliano,M,55999,9999-01-01
10072,Hironoby,Sidou,F,40000,9999-01-01
10076,Erez,Ritzmann,F,47319,9999-01-01
10671,Parviz,Rebaine,M,74037,9999-01-01
10672,Bluma,Zeilberger,M,64663,1996-04-19
10088,Jungsoon,Syrzycki,F,65957,1992-03-21
10676,Valeri,Danley,F,58226,9999-01-01
10693,Berhard,Daescu,F,40000,9999-01-01
10694,Rildo,Straney,M,53020,2001-07-11
10088,Jungsoon,Syrzycki,F,65957,9999-01-01
10100,Hironobu,Haraldson,F,54398,9999-01-01
10702,Bader,Szemeredi,M,46581,9999-01-01
10103,Akemi,Birch,M,68158,9999-01-01
10108,Lunjin,Giveon,M,40000,2001-10-20
10718,Adib,Rullman,M,75473,9999-01-01
10108,Lunjin,Giveon,M,40000,1999-12-06
10116,Dayanand,Czap,F,44034,1995-12-03
10116,Dayanand,Czap,F,44034,1998-11-01
10726,Zita,Minakawa,F,46315,9999-01-01
10126,Kayoko,Valtorta,M,40000,9999-01-01
10731,Fumitaka,Peak,M,77892,2000-10-09
10734,Sachar,Erdi,M,47377,9999-01-01
10129,Armond,Peir,M,40000,9999-01-01
10745,Poorav,Ranze,F,40000,9999-01-01
10130,Nishit,Casperson,M,40000,9999-01-01
10749,King,Brendel,M,60829,9999-01-01
10134,Diederik,Siprelle,M,40000,9999-01-01
10751,Jordanka,Ushiama,M,50052,2000-12-05
10134,Diederik,Siprelle,M,40000,1993-12-02
10138,Perry,Shimshoni,M,53574,9999-01-01
10867,Billur,Gyorkos,M,40000,2002-03-22
10767,Monique,Doering,F,40651,9999-01-01
10768,Ishfaq,Candan,M,65717,9999-01-01
10777,Mizuhito,Kemmerer,F,40000,2001-03-27
10778,Selwyn,Merey,M,64996,9999-01-01
10791,Tadahiko,Sgarro,M,40000,9999-01-01
10795,Supot,Naudin,M,84206,9999-01-01
10803,Katsuyuki,Velasco,F,54260,2002-04-02
10878,Lakshmi,Deville,M,72102,9999-01-01
10808,Chenxi,Leijenhorst,M,40000,9999-01-01
10879,Muzhong,Chleq,F,65651,9999-01-01
10883,Shimshon,Champarnaud,M,40000,9999-01-01
10895,Vishwani,Petersohn,M,67103,1986-12-25
10895,Vishwani,Petersohn,M,67103,1987-04-13
10835,Tomoyuki,Kermarrec,M,40000,9999-01-01
10836,Jianhua,Leivant,F,65502,1991-07-01
10836,Jianhua,Leivant,F,65502,9999-01-01
10909,Georgi,Atchley,M,80935,9999-01-01
10844,Dipayan,Koprowski,M,40000,9999-01-01
10847,Theirry,Danley,M,40000,9999-01-01
10848,Fen,Bratsberg,F,50475,9999-01-01
10912,Oscal,Fasbender,M,45665,1999-09-26
10918,Susumu,Reghbati,M,59521,1990-10-10
11009,Alper,Axelband,F,75111,9999-01-01
11012,Taegyun,Speckmann,F,72092,2000-03-16
11012,Taegyun,Speckmann,F,72092,9999-01-01
11019,Leon,Huttel,M,69387,9999-01-01
11021,Srinidhi,Henders,F,62670,9999-01-01
11027,Remzi,Cappello,M,40000,9999-01-01
11028,Miyeon,Krider,M,41111,1997-09-04
11031,Ottavia,Walstra,M,71654,9999-01-01
11037,Lansing,Maliniak,M,40000,9999-01-01
11038,Jinya,Beidas,M,44993,9999-01-01
11042,Gou,Breugel,F,40000,9999-01-01
11048,Jaques,Demke,M,65697,9999-01-01
11050,Elvis,Katiyar,M,52251,9999-01-01
11051,Przemyslawa,Erol,F,40000,9999-01-01
11070,Adib,Raney,M,40000,9999-01-01
11081,Barry,Boyle,M,65686,9999-01-01
11085,Hailing,Thummel,M,66437,9999-01-01
11100,Berna,Cochrane,M,40000,9999-01-01
11106,Aris,Iwayama,F,71446,9999-01-01
11110,Valeska,Birjandi,F,43063,1992-03-30
11110,Valeska,Birjandi,F,43063,1988-09-23
11112,Boaz,Mukaidono,M,40000,9999-01-01
11113,Shahab,Peng,F,66401,9999-01-01
10921,Mara,Bahi,F,72601,9999-01-01
11121,Vugranam,Kakkad,F,40000,9999-01-01
11133,Nalini,Azulay,M,40000,9999-01-01
10924,Hironoby,Atchley,F,84783,9999-01-01
11134,Sachar,Rajcani,F,58731,9999-01-01
10927,Gal,Scallan,M,51819,9999-01-01
11137,Hugh,Luca,M,40000,9999-01-01
10936,Mountaz,Schicker,F,40000,9999-01-01
11139,Bogdan,Homond,F,63596,9999-01-01
11146,Ishfaq,Masand,F,96019,9999-01-01
11148,Zhanqiu,Botman,F,56344,1991-12-12
11148,Zhanqiu,Botman,F,56344,9999-01-01
10943,Berna,Skafidas,M,45890,9999-01-01
11162,Kauko,Narlikar,F,69873,9999-01-01
10965,Eckart,Braunschweig,M,61654,9999-01-01
11180,Mitsuyuki,Bojadziev,F,40000,9999-01-01
11197,Tadahiro,Fordan,M,88741,9999-01-01
11203,Sakthirel,Yetto,M,68049,1996-06-15
11204,Diederik,Covnot,M,40000,9999-01-01
11207,Saeed,Gips,F,49728,9999-01-01
11208,Saniya,Valtorta,F,83660,9999-01-01
10969,Premal,Noriega,M,40000,9999-01-01
11211,Yurij,Rissland,M,72668,9999-01-01
11217,Kellie,Mawatari,M,40000,9999-01-01
10974,Muneo,Papsdorf,M,56005,9999-01-01
10986,Masako,Schiper,M,43900,9999-01-01
11232,Hidefumi,Crelier,M,43863,9999-01-01
11240,Kiam,Condotta,M,61739,9999-01-01
10988,Chinya,Deyuan,M,54174,9999-01-01
10989,Sumali,Candan,F,46406,9999-01-01
11249,Randi,Cyre,M,43324,9999-01-01
11251,Bezalel,Chinal,M,69432,9999-01-01
10990,Shin,Foote,M,40000,9999-01-01
11290,Visit,Dredge,M,65034,9999-01-01
11268,Aimee,Petersohn,F,40000,9999-01-01
11275,Hitomi,Eppinger,F,58382,9999-01-01
11291,Gino,Glowinski,M,54307,2001-04-15
11295,Abdelkader,Lanzelotte,M,66622,9999-01-01
11319,Pranas,Marrakchi,F,40000,9999-01-01
11431,Youngkon,Picht,M,44804,2001-03-03
11441,Marlo,Aingworth,M,67352,9999-01-01
11449,Kotesh,Asser,M,61434,9999-01-01
11459,Duke,Suomi,M,40000,9999-01-01
11461,Kish,Cronau,M,49398,1997-07-20
11469,Guttorm,Giaccio,M,44625,9999-01-01
11320,Atilio,McAlpine,M,45118,9999-01-01
11477,Fox,Narahari,M,40000,1996-09-12
11322,Nathalie,Pocchiola,F,43021,9999-01-01
11324,Kauko,Billingsley,F,54288,9999-01-01
11338,Kwangsub,Hanratty,M,82210,9999-01-01
11501,Karsten,Ranum,F,48608,2002-03-20
11506,Rance,Picel,F,89747,9999-01-01
11339,Flemming,Massonet,M,40000,9999-01-01
11509,Aleksander,Feldhoffer,M,40000,9999-01-01
11347,Anneli,Jonsson,M,41524,9999-01-01
11513,Otmar,Mahnke,M,82525,9999-01-01
11515,Ulf,Basawa,F,70182,9999-01-01
11518,Jinxi,Oxman,M,40000,9999-01-01
11365,Toshimi,Shinomoto,M,56463,9999-01-01
11524,Xiadong,Standera,M,41081,9999-01-01
11527,Alagu,Boyle,M,60212,9999-01-01
11528,Zito,Dolinsky,M,44026,9999-01-01
11537,DAIDA,Pehl,M,96023,9999-01-01
11376,Valery,Suomi,M,46964,9999-01-01
11554,Subhash,Taubenfeld,M,46065,9999-01-01
11554,Subhash,Taubenfeld,M,46065,1999-02-21
11555,Kotesh,Perfilyeva,M,40000,9999-01-01
11562,Rimli,Alencar,M,82255,1994-12-13
11380,Kenroku,Pelc,M,53345,9999-01-01
11385,Shiv,Ullian,M,40000,9999-01-01
11386,Alselm,Assaf,F,47726,9999-01-01
11567,Teiji,Mitzlaff,M,86261,9999-01-01
11568,Martins,Fujisaki,M,54673,9999-01-01
11393,Junsik,Junot,M,40000,9999-01-01
11578,Edwin,Rosti,F,40000,2002-02-17
11398,Oscar,Peir,M,44625,9999-01-01
11588,Kaijung,Panangaden,M,40000,1995-06-12
11404,Bedrich,Borovoy,M,42907,9999-01-01
11603,Herb,Swen,F,69180,9999-01-01
11415,Sanjiv,Anido,M,40000,9999-01-01
11607,Tomokazu,Foong,F,49584,9999-01-01
11615,Shem,Isaak,F,46591,9999-01-01
11624,Adil,Gammage,M,42001,9999-01-01
11628,Fan,Malinowski,M,43966,1995-04-23
11628,Fan,Malinowski,M,43966,9999-01-01
11421,Josyula,Msuda,F,52416,9999-01-01
11732,Sanjoy,Ranft,F,40000,2002-07-12
11640,Valeri,Coorg,M,52520,9999-01-01
11647,Magy,Nitsche,M,40000,9999-01-01
11660,Gill,Stenning,F,65758,9999-01-01
11673,Henk,Felder,F,40000,9999-01-01
11676,Valeri,Ferriere,F,43310,9999-01-01
11681,Fumitake,Benzmuller,F,40000,9999-01-01
11732,Sanjoy,Ranft,F,40000,9999-01-01
11684,Oksana,Gide,F,68753,9999-01-01
11735,Amalendu,Picci,M,40000,9999-01-01
11696,Dante,Rothe,M,51633,9999-01-01
11738,Tadahiro,Lichtman,M,58432,1995-06-27
11705,Arve,Hofmeyr,M,79701,1990-04-06
11705,Arve,Hofmeyr,M,79701,1994-06-30
11746,Koichi,Marrakchi,F,55951,9999-01-01
11747,Aksel,Kossowski,M,90239,1999-01-16
11853,Zeljko,Kusakabe,F,61941,9999-01-01
11751,Jiafu,Emiris,M,40000,9999-01-01
11857,Divier,Farrag,F,94805,9999-01-01
11764,Sanjay,Anick,F,64875,9999-01-01
11864,Pradeep,Kriebel,F,52517,9999-01-01
11871,Nalini,Sommen,M,67424,9999-01-01
11872,Cheong,Riexinger,M,43159,9999-01-01
11769,Chandrasekaran,Lampe,M,40000,9999-01-01
