emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,9999-01-01
10006,Anneke,Preusig,Senior Engineer,1990-08-05,9999-01-01
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01
10011,Mary,Sluis,Staff,1990-01-22,1996-11-09
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,9999-01-01
10019,Lillian,Haddadi,Staff,1999-04-30,9999-01-01
10020,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01
10022,Shahaf,Famili,Engineer,1999-09-03,9999-01-01
10023,Bojan,Montemayor,Engineer,1999-09-27,9999-01-01
10026,Yongqiao,Berztiss,Senior Engineer,2001-03-19,9999-01-01
10035,Alain,Chappelet,Senior Engineer,1996-09-05,9999-01-01
10047,Zvonko,Nyanchama,Senior Engineer,1998-03-31,9999-01-01
10051,Hidefumi,Caine,Senior Engineer,1998-10-15,9999-01-01
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01
10057,Ebbe,Callaway,Senior Engineer,2000-01-15,9999-01-01
10058,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01
10059,Alejandro,McAlpine,Senior Staff,1991-06-26,9999-01-01
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,9999-01-01
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01
10073,Shir,McClurg,Engineer,1998-02-02,1998-02-22
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01
10096,Jayson,Mandell,Engineer,1999-01-23,9999-01-01
10097,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01
10101,Perla,Heyers,Staff,1998-10-14,2000-09-23
10103,Akemi,Birch,Engineer,1998-01-12,9999-01-01
10106,Eben,Aingworth,Senior Engineer,1997-10-26,9999-01-01
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01
10127,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01
10131,Magdalena,Eldridge,Engineer,1999-09-17,1999-12-06
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,9999-01-01
10149,Xiadong,Perry,Staff,1994-01-28,1996-08-27
10152,Jaques,Munro,Engineer,1986-01-27,1987-08-03
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01
10160,Debatosh,Khasidashvili,Senior Staff,2000-12-06,9999-01-01
10161,Hairong,Mellouli,Engineer,1991-06-09,1994-01-05
10163,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01
10166,Samphel,Siegrist,Engineer,1996-09-02,9999-01-01
10177,Pragnesh,Iisaka,Staff,1993-02-06,1994-03-17
10183,Mechthild,Bonifati,Staff,1996-08-11,9999-01-01
10186,Shigehito,Kropatsch,Staff,1996-12-25,1997-08-16
10194,Josyula,Hofmeyr,Senior Staff,2002-02-14,9999-01-01
10196,Marc,Hellwagner,Staff,1999-01-31,9999-01-01
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01
10205,Mabhin,Leijenhorst,Senior Engineer,1993-08-23,9999-01-01
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01
10217,Yongmin,Roison,Technique Leader,1986-05-12,1993-08-05
10219,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01
10224,Leon,Trogemann,Senior Engineer,1996-01-09,9999-01-01
